reaction	minimum	maximum
ALDD19x: h2o_c + nad_c + pacald_c <=> 2.0 h_c + nadh_c + pac_c	[0.]	[0.]
HOXG: 5.0 h_c + 3.0 nadph_c + 3.0 o2_c + pheme_c --> biliverd_c + co_c + fe2_c + 3.0 h2o_c + 3.0 nadp_c	[1000.]	[-1000.]
RE2675C: dhcrm_cho_c + h_c + nadh_c + o2_c --> crm_cho_c + 2.0 h2o_c + nad_c	[1000.]	[0.]
DEDOLP1: dedoldp_c + h2o_c --> dedolp_c + h_c + pi_c	[1000.]	[0.]
RE3287C: arachd_c + fadh2_c + o2_c --> C14770_c + fad_c + h2o_c	[0.]	[0.]
STS1: dheas_c + h2o_c --> dhea_c + h_c + so4_c	[0.]	[0.]
SULFOX: 2.0 ficytC_m + h2o_c + so3_c --> 2.0 focytC_m + 2.0 h_c + so4_c	[1000.]	[0.]
RE2377C: CE5839_c + h2o_c <=> CE5840_c + h2o2_c	[1000.]	[0.]
UDPG1P: h2o_c + udpglcur_c --> glcur1p_c + 2.0 h_c + ump_c	[0.]	[0.]
AACTOOR: aact_c + h2o_c + o2_c --> h2o2_c + mthgxl_c + nh4_c	[1000.]	[0.]
TIDSSULF: h2o_c + triodthysuf_c --> 335trithyr_c + h_c + so4_c	[1000.]	[0.]
ALDD19x_P: h2o_c + nadp_c + pacald_c --> 2.0 h_c + nadph_c + pac_c	[1000.]	[0.]
FCOAH: formcoa_c + h2o_c --> coa_c + for_c + h_c	[1000.]	[0.]
PI3PP: h2o_c + pail3p_cho_c --> pail_cho_c + pi_c	[625.]	[-2.43748322e-13]
NTD2: h2o_c + ump_c --> pi_c + uri_c	[1000.]	[0.]
FAS120ACP: dcaACP_c + 3.0 h_c + malcoa_c + 2.0 nadph_c --> co2_c + coa_c + ddcaACP_c + h2o_c + 2.0 nadp_c	[1000.]	[0.]
RE2333C: CE1939_c + h2o_c + nad_c <=> CE2072_c + 2.0 h_c + nadh_c	[200.]	[0.]
RE2866C: CE6445_c + ascb_L_c <=> CE6454_c + dhdascb_c + h2o_c	[0.]	[0.]
RN0001C: h_c + nadph_c + o2_c + selmeth_c --> C05708_c + h2o_c + nadp_c	[0.]	[0.]
GapFill-R07215: h_c + lthstrl_c + nadph_c + o2_c <=> 7dhchsterol_c + 2.0 h2o_c + nadp_c	[0.]	[0.]
RE1632C: estradiol_c + h_c + nadph_c + o2_c --> h2o_c + hestratriol_c + nadp_c	[0.]	[0.]
KAS8: accoa_c + 20.0 h_c + 7.0 malcoa_c + 14.0 nadph_c --> 7.0 co2_c + 8.0 coa_c + 6.0 h2o_c + hdca_c + 14.0 nadp_c	[1000.]	[0.]
XAND: h2o_c + nad_c + xan_c --> h_c + nadh_c + urate_c	[142.85714286]	[0.]
DHORTS: dhor_S_c + h2o_c <=> cbasp_c + h_c	[1000.]	[0.]
FAH3: h_c + hdca_c + nadph_c + o2_c --> h2o_c + nadp_c + whhdca_c	[0.]	[-1000.]
MCITS: h2o_c + oaa_c + ppcoa_c --> 2mcit_c + coa_c + h_c	[1000.]	[0.]
PYDXDH: h2o_c + o2_c + pydx_c --> 4pyrdx_c + h2o2_c	[1000.]	[0.]
RE0689C: h2o_c + o2_c + spmd_c --> CE1940_c + h2o2_c + nh4_c	[1000.]	[0.]
MAOX: h2o_c + mma_c + o2_c --> fald_c + h2o2_c + nh4_c	[1000.]	[0.]
RE1978C: C11695_c + h2o_c <=> arachd_c + etha_c	[1000.]	[0.]
ALDD20x: h2o_c + id3acald_c + nad_c --> 2.0 h_c + ind3ac_c + nadh_c	[0.]	[0.]
RE2269C: CE5786_c + 2.0 h2o_c <=> CE5788_c + leu_L_c + phe_L_c	[1000.]	[0.]
RE2867C: CE6445_c + ascb_L_c <=> CE6455_c + dhdascb_c + h2o_c	[1000.]	[-1000.]
NDP6: dcdp_c + h2o_c --> dcmp_c + h_c + pi_c	[0.]	[0.]
RE2235C: estrone_c + h_c + nadph_c + o2_c --> C05300_c + h2o_c + nadp_c	[1000.]	[0.]
RE3273C: h2o_c + pail_cho_c --> h_c + inost_c + pa_cho_c	[1000.]	[0.]
3HAD80: 3hoctACP_c --> h2o_c + toct2eACP_c	[1000.]	[0.]
RE2452C: CE5932_c + h2o_c <=> CE5016_c	[333.33333333]	[2.56540983e-12]
SEAHCYSHYD: h2o_c + seahcys_c --> adn_c + selhcys_c	[0.]	[0.]
SMETMO: h_c + nadph_c + o2_c + selmeth_c --> h2o_c + nadp_c + selmetox_c	[0.]	[0.]
PLA2: ak2gchol_cho_c + h2o_c --> Rtotal2_c + ak2lgchol_cho_c + h_c	[0.]	[0.]
RE2249C: 13_cis_retn_c + h_c + nadph_c + o2_c --> CE2964_c + h2o_c + nadp_c	[0.]	[0.]
RE2335C: CE1935_c + h2o_c + nad_c <=> CE1937_c + 2.0 h_c + nadh_c	[0.]	[0.]
TDP: h2o_c + thmpp_c --> h_c + pi_c + thmmp_c	[0.]	[0.]
FAS140ACP: ddcaACP_c + 3.0 h_c + malcoa_c + 2.0 nadph_c --> co2_c + coa_c + h2o_c + myrsACP_c + 2.0 nadp_c	[1000.]	[0.]
RE2868C: CE6446_c + ascb_L_c <=> CE6456_c + dhdascb_c + h2o_c	[166.66666667]	[0.]
RN0020C: C07535_c + h_c + nadph_c + o2_c --> CN0012_c + h2o_c + nadp_c	[0.]	[0.]
SMOX: h2o_c + o2_c + sprm_c --> bamppald_c + h2o2_c + spmd_c	[0.]	[0.]
NDP7: h2o_c + udp_c --> h_c + pi_c + ump_c	[1000.]	[0.]
RE0691C: 4abutn_c <=> CE1944_c + h2o_c	[1000.]	[0.]
RE2875C: CE6449_c + 2.0 h_c <=> CE6463_c + h2o_c	[1000.]	[-1000.]
r0800: 7.0 amet_c + 2.0 h2o_c --> 6.0 HC01797_c + 7.0 ahcys_c + co2_c + 7.0 h_c	[0.]	[0.]
RE1096C: 17ahprgstrn_c + nadph_c + o2_c --> ac_c + andrstndn_c + h2o_c + nadp_c	[0.]	[0.]
RE2131C: adrnl_c + fald_c <=> CE2173_c + h2o_c + h_c	[1000.]	[0.]
RE2346C: CE2576_c <=> CE2577_c + h2o_c	[0.]	[0.]
RE2444C: CE5829_c + h2o_c <=> CE5865_c + CE5866_c	[0.]	[0.]
AGLPET: ak2g_cho_c + cdpea_c + h_c <=> ak2gpe_cho_c + cmp_c + h2o_c	[0.]	[0.]
RE2251C: retinol_c <=> CE5014_c + h2o_c	[0.]	[0.]
RE2869C: CE6446_c + ascb_L_c <=> CE6457_c + dhdascb_c + h2o_c	[0.]	[0.]
RE3288C: arachd_c + fadh2_c + o2_c --> C14769_c + fad_c + h2o_c	[0.]	[0.]
TDPGDH: dtdpglu_c --> dtdp4d6dg_c + h2o_c	[0.]	[0.]
TYRDOPO3: 2.0 34dhphe_c + o2_c --> 2.0 dopaqn_c + 2.0 h2o_c	[0.]	[0.]
UDPGP: h2o_c + udpg_c --> g1p_c + 2.0 h_c + ump_c	[0.]	[0.]
34DHPLACOX_NADP: 34dhpac_c + h2o_c + nadp_c <=> 34dhpha_c + 2.0 h_c + nadph_c	[1000.]	[0.]
34DHPLACOX: 34dhpac_c + h2o_c + nad_c --> 34dhpha_c + 2.0 h_c + nadh_c	[0.]	[-1000.]
FAS160ACP: 3.0 h_c + malcoa_c + myrsACP_c + 2.0 nadph_c --> co2_c + coa_c + h2o_c + 2.0 nadp_c + palmACP_c	[1000.]	[0.]
NADDP: h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c	[142.85714286]	[0.]
ALDD21: h2o_c + nad_c + pristanal_c --> 2.0 h_c + nadh_c + prist_c	[1000.]	[0.]
RE2132C: fald_c + nrpphr_c <=> CE2174_c + h2o_c	[1000.]	[0.]
RE2474C: C06948_c + h_c + nadph_c + o2_c --> C07486_c + fald_c + h2o_c + nadp_c	[0.]	[0.]
RN0028C: CN0021_c + h2o_c <=> CN0022_c	[0.]	[0.]
r0795: HC01501_c + h2o_c --> HC00250_c + 2.0 h_c + so4_c	[0.]	[0.]
FUM: fum_c + h2o_c <=> mal_L_c	[1000.]	[-4.50684077e-12]
PLA2_2: h2o_c + pchol_cho_c --> Rtotal2_c + h_c + lpchol_cho_c	[1000.]	[-1000.]
RE2870C: CE6447_c + ascb_L_c <=> CE6458_c + dhdascb_c + h2o_c	[1000.]	[0.]
FAS180ACP: 3.0 h_c + malcoa_c + 2.0 nadph_c + palmACP_c --> co2_c + coa_c + h2o_c + 2.0 nadp_c + ocdcaACP_c	[0.]	[0.]
BSORy: btnso_c + h_c + nadph_c <=> btn_c + h2o_c + nadp_c	[125.]	[0.]
PRSOTGEPS: 2.0 h_c + nadph_c + 2.0 o2_c + tmndnc_c --> h2o_c + nadp_c + pgh3_c	[0.]	[0.]
3HAD100: 3hdecACP_c --> h2o_c + tdec2eACP_c	[1000.]	[0.]
RE2382C: h_c + nadph_c + o2_c + yvite_c --> CE5655_c + h2o_c + nadp_c	[250.]	[0.]
RE3422C: prostgd2_c <=> CE5304_c + h2o_c	[0.]	[0.]
FAS80ACP_L: acACP_c + 9.0 h_c + 3.0 malcoa_c + 6.0 nadph_c --> 3.0 co2_c + 3.0 coa_c + 3.0 h2o_c + 6.0 nadp_c + ocACP_c	[0.]	[0.]
ALDD2x: acald_c + h2o_c + nad_c --> ac_c + 2.0 h_c + nadh_c	[333.33333333]	[0.]
LYSTRAH: h2o_c + lystrna_c --> h_c + lys_L_c + trnalys_c	[1000.]	[0.]
MHISOR: h2o_c + mhista_c + o2_c --> 3mldz_c + h2o2_c + nh4_c	[1000.]	[0.]
FUMAC: 4fumacac_c + h2o_c --> acac_c + fum_c + h_c	[1000.]	[0.]
NDP8: dudp_c + h2o_c --> dump_c + h_c + pi_c	[1000.]	[0.]
NTD3: dcmp_c + h2o_c --> dcyt_c + pi_c	[1000.]	[0.]
NTD4: cmp_c + h2o_c --> cytd_c + pi_c	[1000.]	[0.]
PROSTE2S: h_c + prostge2_c <=> h2o_c + prostgb2_c	[1000.]	[0.]
CSND: csn_c + h2o_c + h_c --> nh4_c + ura_c	[1000.]	[-1000.]
DESAT16_2: h_c + nadh_c + o2_c + pmtcoa_c --> 2.0 h2o_c + hdcoa_c + nad_c	[1000.]	[0.]
ALDD2y: acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c	[1000.]	[0.]
RE0690C: CE1940_c + h2o_c + o2_c --> CE1943_c + h2o2_c + nh4_c	[1000.]	[0.]
RE1134C: 17ahprgnlone_c + nadph_c + o2_c --> ac_c + dhea_c + h2o_c + nadp_c	[1000.]	[0.]
RE2248C: 13_cis_retn_c + h_c + nadph_c + o2_c --> CE2963_c + h2o_c + nadp_c	[1000.]	[0.]
RE2871C: CE6447_c + ascb_L_c <=> CE6459_c + dhdascb_c + h2o_c	[0.]	[0.]
RE2872C: CE6448_c + ascb_L_c <=> CE6460_c + dhdascb_c + h2o_c	[0.]	[0.]
RE2873C: CE6448_c + ascb_L_c <=> CE6461_c + dhdascb_c + h2o_c	[0.]	[0.]
XAO2: h2o_c + hxan_c + o2_c --> h2o2_c + xan_c	[0.]	[0.]
r0366: ACP_c + h2o_c --> HC01161_c + pan4p_c	[1000.]	[0.]
GPCCPDE: g3pc_c + h2o_c --> cholp_c + glyc_c + h_c	[1000.]	[-1.07662883e-11]
G5SADr: glu5sa_c <=> 1pyr5c_c + h2o_c + h_c	[1000.]	[0.]
RE2563C: C13856_c + h2o_c <=> arachd_c + glyc_c + h_c	[1000.]	[-1000.]
ACOATE184: h2o_c + strdnccoa_c --> coa_c + h_c + strdnc_c	[0.]	[0.]
RE1943C: h_c + nadph_c + o2_c + retn_c --> CE2957_c + h2o_c + nadp_c	[1000.]	[0.]
XAO: h2o_c + o2_c + xan_c --> h2o2_c + urate_c	[0.]	[0.]
DMBADLMO: 712dmbanth34diol_c + h_c + nadph_c + o2_c --> dmban34diolepox_c + h2o_c + nadp_c	[1000.]	[0.]
ACOATE181: h2o_c + ocde9ecoa_c --> coa_c + h_c + ocdcea_c	[0.]	[0.]
RE1836C: coa_c + dhcholestancoa_c + o2_c <=> dcholcoa_c + h2o_c + ppcoa_c	[1000.]	[0.]
PROTsyn_prod: 0.567734 alatrna_c + 0.312162 argtrna_c + 0.264078 asntrna_c + 0.32562 asptrna_c + 0.10503 cystrna_c + 0.44652 glntrna_c + 0.38336 glutrna_c + 0.60262 glytrna_c + 0.121635 histrna_c + 0.278338 iletrna_c + 0.540177 leutrna_c + 0.490052 lystrna_c + 0.133476 mettrna_c + 0.236049 phetrna_c + 0.280725 protrna_c + 0.408331 sertrna_c + 0.322836 thrtrna_c + 0.031823 trptrna_c + 0.165929 tyrtrna_c + 0.407859 valtrna_c --> 6.4244 h2o_c + prot_prod_c + 0.567734 trnaala_c + 0.312162 trnaarg_c + 0.264078 trnaasn_c + 0.32562 trnaasp_c + 0.10503 trnacys_c + 0.44652 trnagln_c + 0.38336 trnaglu_c + 0.60262 trnagly_c + 0.121635 trnahis_c + 0.278338 trnaile_c + 0.540177 trnaleu_c + 0.490052 trnalys_c + 0.133476 trnamet_c + 0.236049 trnaphe_c + 0.280725 trnapro_c + 0.408331 trnaser_c + 0.322836 trnathr_c + 0.031823 trnatrp_c + 0.165929 trnatyr_c + 0.407859 trnaval_c	[0.]	[0.]
MI123456PP: h2o_c + minohp_c --> mi13456p_c + pi_c	[0.]	[0.]
GPDDA1: g3pc_c + h2o_c --> chol_c + glyc3p_c + h_c	[1000.]	[0.]
DUTPDP: dutp_c + h2o_c --> dump_c + h_c + ppi_c	[1000.]	[0.]
5HOXINDACTOX: 5hoxindact_c + h2o_c + nad_c <=> 5hoxindoa_c + 2.0 h_c + nadh_c	[1000.]	[0.]
r0559: HC01522_c + h2o_c + o2_c --> HC00460_c + h2o2_c + h_c	[0.]	[-1000.]
RE2459C: CE2102_c + h2o_c <=> lipoate_c + lys_L_c	[1000.]	[0.]
MMSOR: 2mop_c + h2o_c + o2_c --> h2o2_c + h_c + mm_c	[0.]	[0.]
RE1942C: 13_cis_retn_c + 2.0 h_c + 2.0 nadph_c + 2.0 o2_c --> CE5654_c + 3.0 h2o_c + 2.0 nadp_c	[1000.]	[0.]
MLTG1: h2o_c + malttr_c --> glc_D_c + malt_c	[0.]	[0.]
TYROXDAc: h2o_c + o2_c + tym_c --> 4hoxpacd_c + h2o2_c + nh4_c	[1000.]	[0.]
ARTCOAL1: Rtotalcoa_c + h2o_c --> Rtotal_c + coa_c + h_c	[1000.]	[0.]
GapFill-R04444: 1p3h5c_c + 2.0 h2o_c + nad_c <=> e4hglu_c + h_c + nadh_c	[1000.]	[0.]
r0558: HC01522_c + h2o_c + nad_c <=> HC00460_c + 2.0 h_c + nadh_c	[1000.]	[-1000.]
RAHY: h_c + nadph_c + o2_c + retn_c --> h2o_c + hretn_c + nadp_c	[0.]	[-1000.]
P4503A5: aflatoxin_c + h_c + nadph_c + o2_c --> eaflatoxin_c + h2o_c + nadp_c	[0.]	[0.]
LCADi: h2o_c + lald_L_c + nad_c --> 2.0 h_c + lac_L_c + nadh_c	[1000.]	[0.]
RE1938C: h_c + nadph_c + o2_c + retinol_c --> CE1761_c + h2o_c + nadp_c	[1000.]	[0.]
GapFill-R08726: 2.0 h_c + 2.0 nadph_c + 2.0 o2_c + xol27oh_c <=> CE1292_c + 3.0 h2o_c + 2.0 nadp_c	[0.]	[0.]
RE1904C: h_c + nadph_c + o2_c + retinal_cis_13_c --> CE5591_c + h2o_c + nadp_c	[1000.]	[-1000.]
GapFill-R04445: 1p3h5c_c + 2.0 h2o_c + nadp_c <=> e4hglu_c + h_c + nadph_c	[0.]	[0.]
25DHBO: 25dhbald_c + h2o_c + o2_c --> 25dhbz_c + h2o2_c + h_c	[1000.]	[-1000.]
PGAM1_PhosHydro: h2o_c + pep_c --> pi_c + pyr_c	[1000.]	[0.]
RE3440C: CE7074_c + h_c + 2.0 nadph_c + 2.0 o2_c --> CE7072_c + 3.0 h2o_c + 2.0 nadp_c	[1000.]	[0.]
RE0575C: CE2249_c <=> CE2245_c + h2o_c	[0.]	[0.]
5HOXINDACTO2OX: 5hoxindact_c + h2o_c + o2_c --> 5hoxindoa_c + h2o2_c + h_c	[0.]	[0.]
r0787: h2o_c + sph1p_c --> pi_c + sphgn_c	[1000.]	[0.]
CACNAO2: cmpacna_c + h_c + nadh_c + o2_c --> cmpglna_c + h2o_c + nad_c	[1000.]	[0.]
FEROc: 4.0 fe2_c + 4.0 h_c + o2_c --> 4.0 fe3_c + 2.0 h2o_c	[0.]	[0.]
GTHP: 2.0 gthrd_c + h2o2_c --> gthox_c + 2.0 h2o_c	[1000.]	[0.]
RN0030C: CN0016_c + 3.0 h_c + nadph_c + o2_c --> CN0017_c + h2o_c + nadp_c	[1000.]	[0.]
ARS: dkmpp_c + h2o_c --> dhmtp_c + pi_c	[0.]	[0.]
PI4PP: h2o_c + pail4p_cho_c --> pail_cho_c + pi_c	[1000.]	[0.]
CAT: 2.0 h2o2_c --> 2.0 h2o_c + o2_c	[1000.]	[0.]
RE1941C: CE1617_c + 2.0 h_c + 2.0 nadph_c + 2.0 o2_c --> CE5653_c + 3.0 h2o_c + 2.0 nadp_c	[1000.]	[0.]
ACGPID: acgpail_cho_c + h2o_c --> ac_c + gpail_cho_c	[0.]	[0.]
GBA: gluside_cho_c + h2o_c --> crm_cho_c + glc_D_c	[0.]	[0.]
SPHMDAc: h2o_c + sphmyln_cho_c --> Rtotal_c + spc_cho_c	[1000.]	[0.]
TRPOX: h2o_c + o2_c + trp_L_c --> h2o2_c + indpyr_c + nh4_c	[1000.]	[0.]
ARTCOAL3: Rtotal3coa_c + h2o_c --> Rtotal3_c + coa_c + h_c	[0.]	[0.]
r0553: betald_c + h2o_c + nadp_c <=> glyb_c + 2.0 h_c + nadph_c	[1000.]	[0.]
ETHP: ethamp_c + h2o_c --> etha_c + pi_c	[1000.]	[-1000.]
GPCCPDE2: h2o_c + lpchol_cho_c --> cholp_c + h_c + mag_cho_c	[1000.]	[0.]
RN0031C: CN0017_c + h2o_c <=> CN0018_c	[1000.]	[0.]
GapFill-R04620: ahdt_c + 3.0 h2o_c <=> dhnpt_c + 3.0 pi_c	[0.]	[0.]
GapFill-R10235: didp_c + h2o_c <=> dimp_c + pi_c	[0.]	[0.]
RN0029C: CN0022_c + nadph_c + o2_c --> CN0023_c + h2o_c + h_c + nadp_c	[2.27373675e-13]	[-1000.]
GapFill-R04998: bdg2hc_c + h2o_c <=> cis2hdxcm_c + glc_D_c	[0.]	[0.]
RADH3: h2o_c + nad_c + retinal_cis_13_c <=> 13_cis_retn_c + 2.0 h_c + nadh_c	[0.]	[0.]
GapFill-R05190: accoa_c + 4.0 h_c + malcoa_c + 2.0 nadph_c <=> co2_c + coa_c + h2o_c + lcacoa_c + 2.0 nadp_c	[1000.]	[-1000.]
RE1952C: CE2566_c + h2o_c <=> CE2568_c	[0.]	[0.]
TRPTRAH: h2o_c + trptrna_c --> trnatrp_c + trp_L_c	[0.]	[0.]
ADPGLC: adpglc_c + h2o_c --> amp_c + g1p_c + 2.0 h_c	[1000.]	[0.]
GTHP_CAT: 2.0 gthrd_c + 3.0 h2o2_c --> gthox_c + 4.0 h2o_c + o2_c	[0.]	[0.]
NADN: h2o_c + nad_c --> adprib_c + h_c + ncam_c	[1000.]	[0.]
ADPRDP: adprib_c + h2o_c --> amp_c + 2.0 h_c + r5p_c	[1000.]	[0.]
AGDC: acgam6p_c + h2o_c --> ac_c + gam6p_c	[1000.]	[0.]
MI134P4P: h2o_c + mi134p_c --> mi13p_c + pi_c	[1000.]	[0.]
RE1860C: 23cump_c + h2o_c <=> 3ump_c + h_c	[1000.]	[1.73838898e-13]
RE3012C: CE2053_c + h2o_c + nad_c <=> 2.0 h_c + leuktrB4wcooh_c + nadh_c	[1000.]	[-1000.]
SERTRAH: h2o_c + sertrna_c --> h_c + ser_L_c + trnaser_c	[0.]	[0.]
CACNAO: cmpacna_c + h_c + nadph_c + o2_c --> cmpglna_c + h2o_c + nadp_c	[1000.]	[4.57333508e-13]
ETOHMO: etoh_c + h_c + nadph_c + o2_c --> acald_c + 2.0 h2o_c + nadp_c	[0.]	[0.]
LCADi_D: h2o_c + lald_D_c + nad_c --> 2.0 h_c + lac_D_c + nadh_c	[1000.]	[0.]
TRYPTAOX: h2o_c + o2_c + trypta_c --> h2o2_c + id3acald_c + nh4_c	[1000.]	[0.]
CYSLYSL: Lcystin_c + h2o_c --> nh4_c + pyr_c + thcys_c	[1000.]	[0.]
GapFill-R10466: h2o_c + nwharg_c <=> hdxur_c + orn_c	[0.]	[0.]
RADH4: h2o_c + nadp_c + retinal_cis_13_c <=> 13_cis_retn_c + 2.0 h_c + nadph_c	[0.]	[0.]
PLA2_3: h2o_c + ps_cho_c --> Rtotal2_c + h_c + lps_cho_c	[1000.]	[-1000.]
DMARG: dmarg_c + h2o_c <=> citr_L_c + dma_c + h_c	[1000.]	[0.]
RE3464C: avite2_c + h_c + nadph_c + o2_c --> CE7144_c + h2o_c + nadp_c	[0.]	[0.]
ADPMAN: adpman_c + h2o_c --> amp_c + 2.0 h_c + man1p_c	[0.]	[0.]
ARTCOAL2: Rtotal2coa_c + h2o_c --> Rtotal2_c + coa_c + h_c	[0.]	[0.]
5HOXINOXDA: h2o_c + o2_c + srtn_c --> 5hoxindact_c + h2o2_c + nh4_c	[1000.]	[0.]
ACOATE1811: h2o_c + octd11ecoa_c --> coa_c + h_c + vacc_c	[0.]	[0.]
GapFill-R04911: 5hoxnfkyn_c + h2o_c <=> 5hxkyn_c + for_c	[1000.]	[0.]
ACOAHi: accoa_c + h2o_c --> ac_c + coa_c + h_c	[0.]	[0.]
RE2273C: CE5797_c + h2o_c <=> CE5798_c + leu_L_c	[1000.]	[0.]
MTHFC: h2o_c + methf_c <=> 10fthf_c + h_c	[1000.]	[-1000.]
MPOMMM: 2.0 h_c + hmppp9_c + nadph_c + o2_c <=> 2.0 h2o_c + nadp_c + omppp9_c	[1000.]	[-1000.]
r0466: HC00576_c + h2o_c --> 4abut_c + his_L_c	[0.]	[0.]
DADA: dad_2_c + h2o_c + h_c --> din_c + nh4_c	[1000.]	[0.]
4HOXPACDOX: 4hoxpacd_c + h2o_c + nad_c --> 4hphac_c + 2.0 h_c + nadh_c	[1000.]	[0.]
RE3500C: CE7109_c + h2o_c <=> CE7113_c	[1000.]	[0.]
NTPP10: ditp_c + h2o_c --> dimp_c + h_c + ppi_c	[0.]	[0.]
RE3411C: C04717_c + h2o_c <=> C01601_c + CE2576_c	[1000.]	[0.]
r0268: cmpacna_c + h_c + nadph_c + o2_c --> HC01162_c + h2o_c + nadp_c	[0.]	[0.]
PPBNGS: 2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c	[-2.5770702e-29]	[0.]
RE3252C: CE4874_c <=> CE4872_c + h2o_c	[500.]	[0.]
LPASE: h2o_c + lpchol_cho_c --> Rtotal_c + g3pc_c + h_c	[1000.]	[2.86456383e-11]
VALTRAH: h2o_c + valtrna_c --> h_c + trnaval_c + val_L_c	[1000.]	[2.11992159e-13]
NTPP11: h2o_c + xtp_c --> h_c + ppi_c + xmp_c	[1000.]	[0.]
RE2069C: prostge2_c <=> HC02205_c + h2o_c	[0.]	[0.]
AMCOXO: amuco_c + h2o_c + h_c + nadph_c --> 2oxoadp_c + nadp_c + nh4_c	[1000.]	[-1000.]
LPS: h2o_c + tag_cho_c --> Rtotal3_c + dag_cho_c + h_c	[1000.]	[0.]
42A12BOOX: dopa_c + h2o_c + o2_c --> 34dhpac_c + h2o2_c + nh4_c	[1000.]	[0.]
FKYNH: Lfmkynr_c + h2o_c --> Lkynr_c + for_c + h_c	[0.]	[0.]
MMSDH: 2mop_c + h2o_c + nad_c <=> 2.0 h_c + mm_c + nadh_c	[1000.]	[0.]
NTD5: dtmp_c + h2o_c --> pi_c + thymd_c	[0.]	[-1000.]
RE0688C: h2o_c + o2_c + sprm_c --> CE1935_c + h2o2_c + nh4_c	[1000.]	[0.]
RE2272C: CE5794_c + h2o_c <=> CE5795_c + CE5796_c	[1000.]	[3.20681386e-12]
RE3245C: h2o_c + odecoa_c --> coa_c + h_c + ocdcea_c	[0.]	[0.]
RE3437C: CE5946_c <=> CE5947_c + h2o_c + h_c	[1000.]	[0.]
PPAP: h2o_c + pa_cho_c --> dag_cho_c + pi_c	[0.]	[0.]
RE3435C: CE5945_c + h_c + nadph_c + o2_c --> CE5946_c + h2o_c + nadp_c	[1000.]	[0.]
CYP2R1: h_c + nadph_c + o2_c + vitd3_c --> 25hvitd3_c + h2o_c + nadp_c	[0.]	[0.]
4HOXPACDOX_NADP: 4hoxpacd_c + h2o_c + nadp_c <=> 4hphac_c + 2.0 h_c + nadph_c	[1000.]	[0.]
LPS2: dag_cho_c + h2o_c --> Rtotal_c + h_c + mag_cho_c	[1000.]	[-1000.]
NTD5_a: h2o_c + nmn_c --> pi_c + rnam_c	[1000.]	[0.]
DIDP: didp_c + h2o_c --> dimp_c + h_c + pi_c	[1000.]	[0.]
PGL: 6pgl_c + h2o_c --> 6pgc_c + h_c	[1000.]	[0.]
RE0579C: h2o_c + lgnccoa_c --> coa_c + h_c + lgnc_c	[1000.]	[0.]
4ABUTNDH: 4abutn_c <=> 1pyrr_c + h2o_c	[1000.]	[0.]
TYRASE2: 2.0 56dihindlcrbxlt_c + o2_c --> 2.0 56iqcrbxlt_c + 2.0 h2o_c	[1000.]	[-1000.]
CHTNASE: chtn_c + 2.0 h2o_c --> 3.0 acgam_c	[0.]	[0.]
DOPACHRMISO: 2.0 2c23dh56dhoxin_c + o2_c --> 2.0 L_dpchrm_c + 2.0 h2o_c	[1000.]	[0.]
DOPABMO: ascb_L_c + dopa_c + o2_c --> dhdascb_c + h2o_c + nrpphr_c	[500.]	[0.]
RE2270C: CE5786_c + h2o_c <=> CE5789_c + leu_L_c	[1000.]	[0.]
RE0578C: docoscoa_c + h2o_c --> coa_c + docosac_c + h_c	[1000.]	[-1000.]
RE1906C: h_c + nadph_c + o2_c + retinal_cis_9_c --> CE5593_c + h2o_c + nadp_c	[1000.]	[0.]
TXB2c: h2o_c + txa2_c <=> txb2_c	[0.]	[0.]
URCN: h2o_c + urcan_c --> 4izp_c	[1000.]	[-1000.]
IDHPOXOX3: 35diotyr_c + 3ityr_L_c + h2o2_c --> 2amac_c + 2.0 h2o_c + triodthy_c	[1000.]	[0.]
r0028: adp_c + h2o_c --> amp_c + h_c + pi_c	[333.33333333]	[0.]
AMID6: 2oxgltrm_c + h2o_c --> akg_c + nh4_c	[1000.]	[0.]
DCYTD: dcyt_c + h2o_c + h_c --> duri_c + nh4_c	[1000.]	[0.]
PLIPA2A180pp: h2o_c + pa180_c <=> 1odecg3p_c + h_c + ocdca_c	[1000.]	[0.]
GapFill-R01100: h2o_c + lcts_c <=> gal_c + glc_D_c	[0.]	[0.]
PPPPH: gbdp_c + h_c + pi_c <=> gdptp_c + h2o_c	[1000.]	[-1000.]
RE3434C: CE4988_c + h_c + nadph_c + o2_c --> CE4989_c + h2o_c + nadp_c	[0.]	[0.]
LPS3: h2o_c + mag_cho_c --> Rtotal2_c + glyc_c + h_c	[0.]	[0.]
PI45P4P: h2o_c + pail45p_cho_c --> pail5p_cho_c + pi_c	[1000.]	[0.]
RE3436C: CE4989_c + h_c + nadph_c + o2_c --> CE5945_c + h2o_c + nadp_c	[1000.]	[0.]
RE3251C: h_c + nadph_c + o2_c + xoltetrol_c --> CE4874_c + h2o_c + nadp_c	[0.]	[0.]
RE3370C: CE7144_c + h_c + 2.0 nadph_c + 2.0 o2_c --> CE7145_c + 3.0 h2o_c + 2.0 nadp_c	[1000.]	[0.]
PPA: h2o_c + ppi_c --> h_c + 2.0 pi_c	[0.]	[0.]
